iter	TotalF1	MultiClass
304	0.5498919078	1.057743984
305	0.5502223588	1.057228873
306	0.5501458602	1.056789351
307	0.5503664235	1.056430898
308	0.5506666857	1.056122679
309	0.5508651626	1.055592033
310	0.5511972037	1.055197963
311	0.5513268894	1.054829388
312	0.5515349041	1.054495216
313	0.5518960324	1.054118507
314	0.5519560814	1.053778311
315	0.5524062201	1.053382232
316	0.5528550177	1.05308681
317	0.5530807933	1.052798802
318	0.553243877	1.052596628
319	0.5535831685	1.052260724
320	0.5537391481	1.051915518
321	0.5539408171	1.051521196
322	0.5540219572	1.051062562
323	0.5542606151	1.050695109
324	0.5545872145	1.050251219
325	0.5548256527	1.049959767
326	0.5550618836	1.049632292
327	0.555171948	1.04918239
328	0.5555159541	1.048800041
329	0.5556343528	1.048302925
330	0.5557761947	1.047759713
331	0.5557168127	1.047455379
332	0.5558972162	1.047246431
333	0.556300286	1.046914328
334	0.5564874721	1.046520705
335	0.5568529789	1.046164672
336	0.5570906057	1.045673552
337	0.5574530362	1.045238235
338	0.5576333378	1.044877162
339	0.5580626504	1.044476878
340	0.5582059904	1.04405038
341	0.5584369843	1.043714088
342	0.5584662588	1.043073731
343	0.5587923283	1.042608958
344	0.5595263306	1.042099552
345	0.5596940916	1.041730651
346	0.5597873923	1.041448036
347	0.5602664481	1.040950389
348	0.560577438	1.040386623
349	0.5606307047	1.040112353
350	0.5609363941	1.039844735
351	0.5613268021	1.039427999
352	0.5617472873	1.038979891
353	0.5615629809	1.038654769
354	0.5620415465	1.038350089
355	0.5625186581	1.037936433
356	0.562813461	1.037534066
357	0.5628948812	1.037100905
358	0.5635807638	1.0365103
359	0.5635989622	1.036143346
360	0.563867166	1.035678413
361	0.5642502802	1.035170534
362	0.5648035148	1.034477332
363	0.5650633924	1.034188386
364	0.5651172997	1.033795675
365	0.5650710744	1.033584777
366	0.5656181042	1.033074216
367	0.565780098	1.032678332
368	0.5660796353	1.032422072
369	0.5662158742	1.03213664
370	0.5667039274	1.031615171
371	0.5673211711	1.030998657
372	0.5675576377	1.030533469
373	0.5679701365	1.03014631
374	0.5682011918	1.029709178
375	0.5686221299	1.02932533
376	0.5685760726	1.028895264
377	0.5686071734	1.028599436
378	0.5685346659	1.028353951
379	0.5689816733	1.027700096
380	0.5693264079	1.027273007
381	0.5698820264	1.026769312
382	0.5702375409	1.026303775
383	0.5705043434	1.025825073
384	0.5706594084	1.025598432
385	0.5709392278	1.025211407
386	0.571112662	1.024931232
387	0.5713603301	1.024150853
388	0.571667875	1.023630972
389	0.5723509383	1.023138349
390	0.5721425633	1.022769894
391	0.5726494277	1.02240596
392	0.5728683375	1.022007543
393	0.5733505219	1.02155597
394	0.5735128726	1.021222115
395	0.5736674095	1.020921776
396	0.573835952	1.020645981
397	0.5740085804	1.020273195
398	0.5743106125	1.019893582
399	0.5742987115	1.019570884
400	0.5745088075	1.019137336
401	0.5747105865	1.018763688
402	0.5752001556	1.018310263
403	0.5754487365	1.01794433
404	0.5756388665	1.017621966
405	0.5759694128	1.017152972
406	0.576103898	1.016795551
407	0.5762810754	1.016390769
408	0.5767586302	1.015961558
409	0.5770639257	1.015504244
410	0.5771618832	1.015160679
411	0.5772743586	1.014659485
412	0.5773673313	1.014283686
413	0.5776860264	1.01406589
414	0.5777001155	1.013696967
415	0.5780098193	1.013292568
416	0.578453152	1.012822713
417	0.578641745	1.012399229
418	0.5790126963	1.012047653
419	0.5790329923	1.011731735
420	0.5792786811	1.011407213
421	0.5795100128	1.010908766
422	0.579525623	1.010533522
423	0.5802052436	1.010131463
424	0.5802499602	1.009760347
425	0.5805545941	1.009472338
426	0.580514611	1.009082439
427	0.5809495667	1.008697307
428	0.5814364401	1.008243124
429	0.581972004	1.007647552
430	0.5818766634	1.007316566
431	0.5821401522	1.006912842
432	0.5826355734	1.00642169
433	0.5831664713	1.005974515
434	0.5832878319	1.005551285
435	0.5835127674	1.005120964
436	0.5836111537	1.00490326
437	0.5839741581	1.004520299
438	0.5843314885	1.004067499
439	0.5846089444	1.003744413
440	0.5848596437	1.003307617
441	0.5851177084	1.002962038
442	0.585355287	1.002586666
443	0.5857613337	1.001993021
444	0.5856994548	1.001610192
445	0.5856971063	1.001216572
446	0.5859835353	1.000852941
447	0.5862663127	1.000452122
448	0.5865353334	1.000154797
449	0.5868575647	0.9998707997
450	0.5870320323	0.9996009546
451	0.5874281122	0.9991849498
452	0.5876487641	0.9988869194
453	0.5877267336	0.9985760653
454	0.588282938	0.9981289343
455	0.5886801655	0.99769011
456	0.5889825976	0.9972233113
457	0.5890109846	0.9967901887
458	0.589415468	0.9962793578
459	0.589718756	0.9958512317
460	0.5898531293	0.9955025122
461	0.5901303604	0.994989553
462	0.5902237248	0.9946528159
463	0.5906267178	0.9942872611
464	0.591055495	0.9939153954
465	0.5909991449	0.9935493126
466	0.5913641635	0.99308524
467	0.5916500919	0.9927090409
468	0.5918843519	0.9922593643
469	0.5920207321	0.9919297917
470	0.5923265819	0.9914880312
471	0.5924314057	0.9909649269
472	0.5928177414	0.990293944
473	0.5929081808	0.9899145119
474	0.5929202672	0.9896404129
475	0.5931247916	0.9893166408
476	0.5935749613	0.9888162235
477	0.5940177431	0.9882921045
478	0.5943504808	0.9878032218
479	0.5945999985	0.9874724738
480	0.5950422788	0.9871209672
481	0.5950967877	0.9867261718
482	0.5954516492	0.986431017
483	0.5955976613	0.9860268039
484	0.5957314537	0.9856979378
485	0.5957904726	0.985385864
486	0.5962441538	0.9850904103
487	0.5961030721	0.9848039723
488	0.5966290355	0.9844899428
489	0.5968704439	0.9840890091
490	0.5971476899	0.9837817663
491	0.5973304357	0.9833951255
492	0.5974739082	0.9830674926
493	0.5976765622	0.9828032208
494	0.597641225	0.9824935668
495	0.5978197912	0.9822258161
496	0.5980206324	0.9817010829
497	0.5984584498	0.9812249437
498	0.5984908448	0.9809916749
499	0.598698793	0.980651179
500	0.5988794899	0.9801511452
501	0.5991247051	0.9797389716
502	0.5994185223	0.9792217821
503	0.5997893402	0.9789528862
504	0.5998577238	0.9785943557
505	0.6000184881	0.9783582973
506	0.600260975	0.9779761358
507	0.6007303407	0.9777235324
508	0.6007713268	0.9772996621
509	0.6010971997	0.9770132376
510	0.6013633781	0.9766603448
511	0.60155266	0.9762608643
512	0.601670778	0.9758250612
513	0.6018255449	0.9755059041
514	0.602363839	0.9750041469
515	0.6029155612	0.974594512
516	0.6032733665	0.9743196337
517	0.6033184133	0.974051565
518	0.603454045	0.973736321
519	0.6036595319	0.9734772006
520	0.6035440975	0.9731094811
521	0.6038424358	0.9728847354
522	0.6040715906	0.972562421
523	0.6042479174	0.9722649418
524	0.6045798239	0.9718752017
525	0.604919167	0.9714536242
526	0.6052460206	0.9710403979
527	0.6055535673	0.970710466
528	0.6057178468	0.970403826
529	0.6060476772	0.970148916
530	0.6063262714	0.969794391
531	0.6064806359	0.9694625593
532	0.6069184391	0.9691230583
533	0.6070205194	0.9689156203
534	0.6073487737	0.9682894268
535	0.607454239	0.9680630236
536	0.6075340378	0.9678281996
537	0.607862334	0.9674811549
538	0.6078739002	0.9670693402
539	0.6083247054	0.9664865827
540	0.6087200315	0.9662122757
541	0.6089352879	0.9658659144
542	0.6092337562	0.9656088588
543	0.6093763606	0.9652278019
544	0.6095943971	0.9649045812
545	0.6098986081	0.9644573429
546	0.6099818808	0.9641700652
547	0.6104417859	0.9637291643
548	0.6103688762	0.9635172862
549	0.6105518036	0.9631816803
550	0.6108978752	0.9626731295
551	0.6110324873	0.9624546579
552	0.6113864994	0.9621845329
553	0.6115207066	0.9619265619
554	0.6117451863	0.9616586279
555	0.6119793114	0.9612534847
556	0.6120858351	0.9607869294
557	0.6124387596	0.9605057323
558	0.6126178825	0.9600704037
559	0.612767729	0.9597912788
560	0.6132763789	0.9593430983
561	0.6137555132	0.9589810218
562	0.6139077632	0.9585720592
563	0.6139580464	0.9582936723
564	0.6141322996	0.9580128532
565	0.6142612836	0.9577258752
566	0.614607538	0.957379938
567	0.6146739628	0.9570432916
568	0.6149619475	0.9567130819
569	0.614891848	0.9563743721
570	0.6150474563	0.9561780502
571	0.6151937374	0.9558502315
572	0.6152993735	0.9554935285
573	0.6157150825	0.9550028723
574	0.615781617	0.9547407522
575	0.6160432427	0.9543972349
576	0.6162088742	0.9539399506
577	0.6165494708	0.9537361064
578	0.6167304731	0.9532309123
579	0.6167682663	0.952823657
580	0.6169930016	0.9524970224
581	0.6172768322	0.9520216062
582	0.6175523456	0.951676153
583	0.6176533246	0.9514242601
584	0.6177755232	0.95118843
585	0.6180514222	0.9508349742
586	0.6181394587	0.9504837213
587	0.6183791645	0.9500582076
588	0.6185611215	0.9497142116
589	0.6186219916	0.9493975449
590	0.6191082462	0.9489871223
591	0.6193226207	0.9485573111
592	0.6198043653	0.9480043108
593	0.6199864331	0.9477212451
594	0.6201591206	0.9473914822
595	0.6205117639	0.9468222197
596	0.6206674304	0.946486496
597	0.6208199234	0.9460623107
598	0.6210865839	0.9457880228
599	0.6213754667	0.9453644186
600	0.6215276538	0.9450879113
601	0.6218356775	0.9447516632
602	0.6219987645	0.9443482363
603	0.6219843881	0.9439647461
604	0.6223968638	0.9435708829
605	0.6224424972	0.9433218011
606	0.6228187551	0.9428184409
607	0.6231899985	0.9423047904
608	0.6234145435	0.941970807
609	0.6236153682	0.9416882954
610	0.6240197207	0.9412699939
611	0.6241998808	0.9410546382
612	0.6246022005	0.9406456988
613	0.6246651402	0.940449766
614	0.6248283901	0.9401872476
615	0.6249227922	0.9397458063
616	0.6254604552	0.9394112611
617	0.6257761819	0.9389964245
618	0.6261805442	0.9385125487
619	0.6262429227	0.9382081549
620	0.6264131802	0.9379642898
621	0.6268236546	0.9375922342
622	0.6271559493	0.937214709
623	0.6273931762	0.9366474734
624	0.6275253321	0.9364965422
625	0.6277716356	0.9361787702
626	0.6279000392	0.9357377003
627	0.6279880321	0.9354425735
628	0.6281479593	0.9350112245
629	0.6283532821	0.9347376096
630	0.6288783611	0.9342841045
631	0.6289708306	0.9339422948
632	0.6291545015	0.9336514624
633	0.6294353571	0.9331552826
634	0.6295664516	0.9329573382
635	0.6296482506	0.9326266072
636	0.6301112016	0.9321446899
637	0.6306501808	0.9317360584
638	0.6306696484	0.9314403557
639	0.6307466316	0.9310146239
640	0.630965058	0.9307603432
641	0.6311128772	0.930560343
642	0.6312816945	0.9302868313
643	0.631433306	0.929995616
644	0.6315449001	0.929717506
645	0.6315200486	0.9294668297
646	0.6317434051	0.9291806212
647	0.6319189355	0.9289105223
648	0.6320111658	0.9285252357
649	0.6321993564	0.9282783247
650	0.6323606873	0.928110073
651	0.6325521935	0.9278407771
652	0.6328569901	0.9276155452
653	0.6331113265	0.9273455846
654	0.6333844615	0.9270539091
655	0.6334109065	0.9266993913
656	0.6334049192	0.9263219969
657	0.633548189	0.9259931423
658	0.6336218416	0.9257947365
659	0.6338220411	0.925426718
660	0.6340323847	0.9251987755
661	0.6344169713	0.9247575474
662	0.6346140755	0.9245068554
663	0.6348230924	0.9243057567
664	0.6349249786	0.9241101433
665	0.6350687146	0.9239304179
666	0.6355842567	0.9236167322
667	0.6358055919	0.9233745531
668	0.6359650013	0.923031184
669	0.6361496584	0.9228078179
670	0.636311829	0.9225123233
671	0.6360906744	0.9222685472
672	0.6363013601	0.9220290238
673	0.636485445	0.9217669677
674	0.6365485089	0.9214589162
675	0.6369695763	0.9211271902
676	0.6371406969	0.9207760935
677	0.6371522255	0.9204590221
678	0.6374534127	0.9200505575
679	0.6379393544	0.9198399471
680	0.6380272574	0.9196190608
681	0.6380189335	0.9193825
682	0.6386380096	0.9188452101
683	0.63876034	0.918645543
684	0.6389321241	0.91839253
685	0.6391585626	0.9179116689
686	0.6393154205	0.9175942608
687	0.6394653867	0.9172041422
688	0.6397023134	0.9169380502
689	0.6400598577	0.916733069
690	0.6401913853	0.9164021597
691	0.6405103477	0.9161438228
692	0.6405416988	0.9157697606
693	0.6408235629	0.9154356582
694	0.6409898802	0.9150243957
695	0.6414600834	0.9146928531
696	0.6415351444	0.914392985
697	0.6416711521	0.9141285773
698	0.6418939974	0.9136789581
699	0.6420134963	0.9135116209
700	0.642145666	0.9132377618
701	0.6423290388	0.9130328256
702	0.6425794533	0.9128620443
703	0.642546236	0.912524745
704	0.6429359615	0.9121349562
705	0.6432013616	0.9119133827
706	0.643469802	0.9115842041
707	0.6438894193	0.9112002418
708	0.6441228143	0.9108662842
709	0.6443536853	0.9105003511
710	0.6444661574	0.9102881189
711	0.6446413599	0.9099393838
